 N/p A A_error tau tau_error beta beta_error tau_av tau_av_error
1 42 0.994874757787931 9.12295708380545E-4 82326.0863162349 1075.40600962128 0.943888318813491 0.0112684880375808 84516.5302090917 1104.0192552099
2 21 0.998149453651456 7.59342565986674E-4 22435.770082027 110.609735146761 0.719518463366129 0.00366724662068022 27685.1191968067 136.489351186497
3 14 0.995383795236166 0.00184230240369753 6805.06484291244 52.8035283799868 0.700863191604749 0.00594521372419353 8603.90696667533 66.7615454343221
4 10.5 0.987214865063616 9.66445499096529E-4 2537.00706026377 9.07179911066617 0.77600775667495 0.00334712193967068 2939.96374150966 10.512686729711
5 8.4 0.990483411877154 0.00106290838858742 1515.89245749463 5.47689171326794 0.731093965580113 0.00301460998352109 1844.33207762656 6.66353805148009
6 7 0.995137541459466 0.00299493750109503 1102.07970672387 10.7322586537992 0.68375310128362 0.00708646402799517 1427.42413295678 13.9005236282838
7 6 0.996288221275118 0.00405847336438124 745.178104147543 9.31326917402471 0.662774801771596 0.0087934424742542 996.768559754971 12.4576579069276
8 5.25 0.994953016606136 0.00425637080595301 477.255007678503 5.9791411077922 0.657345304869736 0.00845012115150878 644.06576928083 8.06897791593832
9 4.66666666666667 0.988113959932834 0.00190773743249469 385.934626088371 2.13928828499983 0.652238911577321 0.00364184796324604 525.289991675227 2.91175408853093
10 4.2 0.980772849343815 0.00214259229554494 255.244184384985 1.51084710980783 0.681833237866143 0.00425990832546531 331.529448694237 1.96239655991683
11 3.81818181818182 0.983746763727677 0.00319331065368588 210.894207007037 1.84859014423246 0.643430851892071 0.0055522866255342 291.442201214548 2.55463243122961
12 3.5 0.987718355508551 0.00366222202108682 172.168301579947 1.70822287747753 0.621387654309732 0.00580956585977808 247.866509498239 2.4592868617501
13 3.23076923076923 0.975339122666896 0.0021545331807162 131.581384790988 0.746325074953058 0.646172246591579 0.0036045406148831 180.966481396657 1.0264356391057
14 3 0.975230494313629 0.00228081232341167 109.543996851745 0.651506642404164 0.634291091318403 0.00359994856300059 153.894135342082 0.915276549002552
15 2.8 0.976761100108296 0.00230902942367116 88.3877652572696 0.525332834500964 0.617900571517114 0.00338680276749562 128.12816072396 0.761529943161191
16 2.625 0.973226617634381 0.0029754652147518 70.4254240674906 0.535297044944356 0.619017650533362 0.00420614253136764 101.863665353241 0.77425616917174
17 2.47058823529412 0.98843111848411 0.0028601604107945 61.4261087453089 0.451056320706959 0.580943621029185 0.00347559678773353 96.5207793406495 0.708759003141094
18 2.33333333333333 0.981139395568302 0.00311248584133066 52.3871888517175 0.415520286176528 0.587967588629691 0.00378282367176034 80.9716819892065 0.642244358016298
19 2.21052631578947 0.987491828916824 0.00215399734402123 41.7771522483359 0.226553042430309 0.57993344873718 0.00243302826509341 65.8047779065199 0.356852294588047
20 2.1 0.998389353630426 0.00538231940139314 35.0417770258474 0.475261811810145 0.559292210395377 0.00543689307760342 58.1581766904036 0.788783068994124
21 2 0.992104354847074 0.00348061511696791 30.5482959627443 0.265007122935285 0.569295625572261 0.00354505528838715 49.3976173870316 0.428525390730805
22 1.90909090909091 0.99072545451799 0.00470028090887911 27.4094354844936 0.319554273600802 0.570750696582959 0.00469311420846174 44.1593630200608 0.514834140985241
23 1.82608695652174 0.987481474968862 0.00430434147835033 23.6502350232164 0.249976022279815 0.568869554348666 0.00419408434586877 38.2846047753588 0.404657002643075
24 1.75 1 0.00666474463558577 19.5192997864476 0.319471368628783 0.552408323911896 0.0057724789045345 33.0079653599597 0.540239659443078
25 1.68 0.998771911572827 0.00468758747959921 17.3676359974666 0.196926079567844 0.558112251046627 0.00404214033385638 28.9159951582328 0.327869237019027
26 1.61538461538462 1 0.00590404294731614 15.3682975387119 0.219397408327536 0.547687885395021 0.0048156097819601 26.3346785172682 0.375953172514626
27 1.55555555555556 1 0.0112824961226228 13.7813178862369 0.376123725504863 0.541644436537219 0.00879584352869032 24.0306383707013 0.655851153341062
28 1.5 1 0.0194168211463324 12.1131833931044 0.5686093569827 0.533944108284819 0.0143809303489848 21.6144200812442 1.01461037161764
29 1.44827586206897 1 0.00993811540505839 10.8167396773206 0.252479140617711 0.548378154168928 0.0075156177915899 18.499038259607 0.431795663145391
30 1.4 1 0.0140525330491875 9.95758376041513 0.329272894071723 0.541842903639644 0.0102227818317263 17.3530552707992 0.573823014446269
31 1.35483870967742 1 0.0460097475651495 8.43196415350947 0.929064033904542 0.519591322714427 0.0301026255988317 15.7481580408673 1.73518850052569
32 1.3125 1 0.0468168116382553 7.59474971074974 0.831130505770154 0.528156580402285 0.0310168262903988 13.7975606513487 1.50993436246075
33 1.27272727272727 1 0.0168726416858196 7.50794959801207 0.286414234366659 0.550694436317071 0.0119493024391334 12.7569298787047 0.486653014432302
34 1.23529411764706 1 0.019965809486309 6.73913600900069 0.300248278759534 0.55216356597526 0.0139296594352603 11.4038961370985 0.50807702674991
35 1.2 1 0.022375788698012 6.24353863756174 0.307358500419583 0.556366182053741 0.0156141146954305 10.4442016188333 0.514149800936928
36 1.16666666666667 1 0.0155021634003471 5.87154377720507 0.196540511852602 0.564727968867757 0.0109883633263526 9.60640469864908 0.321558991668537
37 1.13513513513514 1 0.0192481208735725 5.46860144354754 0.225812700939257 0.563915678766078 0.0134612928665581 8.96608018937599 0.370232646372478
38 1.10526315789474 1 0.0177126655378169 5.1749914095673 0.193718448833132 0.571326355842494 0.0124926649216956 8.32538064761824 0.311648792695645
39 1.07692307692308 1 0.014512916641 4.98818304820128 0.151256555332939 0.576175576311708 0.0103425452162596 7.92898561397353 0.240430441237824
40 1.05 1 0.0306302719018192 4.66932202097283 0.298537121362078 0.571867783070639 0.0213559287561704 7.50168978476732 0.479626991592486
41 1.02439024390244 1 0.0159865508447813 4.65600655117623 0.15264085585618 0.582717185018843 0.0115660534603958 7.28533467121261 0.238839809864886
42 1 1 0.00810259560116386 4.71755636423656 0.0778644068343165 0.588271770158076 0.00597174713283307 7.28653055198234 0.120265946075675
